date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-05,33.48,34.22,31.29,30.88,49525.26,-2.59,-7.64,34.742,36.137,38.59,47739.0,48001.21,92619.79,12.38
2018-02-02,34.5,35.08,33.88,33.55,29886.83,-0.55,-1.6,36.042,36.697,38.837,47269.89,50630.37,92764.68,7.47
2018-02-01,35.29,36.25,34.43,34.21,44925.19,-1.32,-3.69,36.596,37.218,38.902,51314.27,57219.32,93910.29,11.23
2018-01-31,38.14,38.7,35.75,35.5,57997.05,-2.61,-6.8,37.292,37.913,38.967,51815.24,61409.53,93533.76,14.5
2018-01-30,37.79,38.49,38.36,37.1,56360.68,0.57,1.51,37.708,38.439,38.967,50457.85,65727.46,93005.12,14.09
2018-01-29,36.98,37.79,37.79,36.61,47179.69,1.14,3.11,37.532,38.783,38.873,48263.41,75012.23,92536.75,11.79
2018-01-26,37.62,37.87,36.65,36.31,50108.75,-1.26,-3.32,37.352,39.341,38.777,53990.85,85282.79,93944.0,12.53
2018-01-25,37.87,38.38,37.91,37.3,47430.03,0.08,0.21,37.84,39.709,38.84,63124.37,93719.2,95993.7,11.86
2018-01-24,37.5,38.5,37.83,37.48,51210.11,0.35,0.93,38.534,40.208,38.795,71003.82,109343.93,98945.53,12.8
2018-01-23,36.58,37.68,37.48,36.53,45388.47,0.59,1.6,39.17,40.807,38.789,80997.07,124900.0,102426.71,11.35
2018-01-22,38.1,38.72,36.89,35.76,75816.87,-2.2,-5.63,40.034,41.043,38.729,101761.04,137238.38,104557.96,18.95
2018-01-19,40.95,41.4,39.09,38.8,95776.38,-2.29,-5.53,41.33,40.976,38.633,116574.74,134898.99,103640.04,23.94
2018-01-18,41.08,42.96,41.38,40.85,86827.27,0.37,0.9,41.578,40.586,38.437,124314.03,130601.27,102090.03,21.71
2018-01-17,40.9,42.9,41.01,40.1,101176.34,-0.79,-1.89,41.882,40.021,38.065,147684.04,125657.98,99749.39,25.29
2018-01-16,42.49,45.89,41.8,41.73,149208.34,-1.57,-3.62,42.444,39.495,37.716,168802.93,120282.77,97098.89,37.3
2018-01-15,40.3,44.36,43.37,39.8,149885.38,3.04,7.54,42.052,38.962,37.361,172715.72,110061.27,92370.84,37.47
2018-01-12,41.85,42.29,40.33,39.71,134472.8,-2.57,-5.99,40.622,38.213,36.928,153223.24,102605.2,87014.34,33.62
2018-01-11,43.95,45.98,42.9,41.66,203677.36,-0.92,-2.1,39.594,37.97,36.687,136888.51,98268.2,83906.75,50.92
2018-01-10,39.0,43.82,43.82,38.38,206770.77,3.98,9.99,38.16,37.381,36.267,103631.93,88547.13,76356.3,51.69
2018-01-09,35.98,39.84,39.84,35.85,168772.31,3.62,9.99,36.546,36.771,35.737,71762.61,79953.42,68474.27,42.19
2018-01-08,35.4,36.22,36.22,34.58,52422.96,1.03,2.93,35.872,36.415,35.473,47406.81,71877.54,63456.28,13.11
2018-01-05,35.7,35.99,35.19,34.7,52799.14,-0.54,-1.51,35.804,36.289,35.333,51987.16,72381.09,63742.26,13.2
2018-01-04,35.45,36.11,35.73,35.35,37394.45,-0.02,-0.06,36.346,36.288,35.228,59647.89,73578.79,64432.15,9.35
2018-01-03,36.23,36.33,35.75,35.45,47424.21,-0.72,-1.97,36.602,36.108,35.181,73462.34,73840.79,65905.21,11.86
2018-01-02,35.91,36.75,36.47,35.5,46993.31,0.59,1.64,36.996,35.936,35.142,88144.22,73915.01,67537.73,11.75
2017-12-29,37.8,37.8,35.88,35.81,75324.69,-2.02,-5.33,36.958,35.759,35.098,96348.27,74680.42,69185.11,18.83
2017-12-28,36.55,38.25,37.9,36.11,91102.81,0.89,2.4,36.774,35.643,35.281,92775.02,71423.47,72609.05,22.78
2017-12-27,37.25,38.69,37.01,36.5,106466.67,-0.71,-1.88,36.23,35.404,35.286,87509.69,69545.3,74646.22,26.62
2017-12-26,35.87,38.97,37.72,35.71,120833.62,1.44,3.97,35.614,35.153,35.236,74219.24,64165.47,74784.94,30.21
2017-12-25,34.21,36.66,36.28,33.75,88013.56,1.32,3.78,34.876,34.703,35.214,59685.8,56995.13,74777.54,22.0
2017-12-22,34.85,35.81,34.96,34.8,57458.43,-0.22,-0.62,34.56,34.53,35.358,53012.57,55035.02,76807.61,14.36
2017-12-21,33.3,35.67,35.18,33.0,64776.18,1.25,3.68,34.512,34.377,35.786,50071.93,55103.42,74686.05,16.19
2017-12-20,34.03,34.8,33.93,33.61,40014.42,-0.1,-0.29,34.578,34.168,36.004,51580.9,55285.5,71474.91,10.0
2017-12-19,34.18,34.39,34.03,33.35,48166.4,-0.67,-1.93,34.692,34.254,36.105,54111.71,57969.64,69482.27,12.04
2017-12-18,34.91,35.88,34.7,34.52,54647.4,-0.02,-0.06,34.53,34.347,36.038,54304.46,61160.46,67076.38,13.66
2017-12-15,35.13,35.42,34.72,34.34,42755.24,-0.79,-2.23,34.5,34.436,35.788,57057.47,63689.81,64346.71,10.69
2017-12-14,34.6,35.96,35.51,33.9,72321.05,1.01,2.93,34.242,34.918,35.403,60134.92,73794.63,62212.2,18.08
2017-12-13,33.16,34.77,34.5,32.9,52668.44,1.28,3.85,33.758,35.167,34.855,58990.09,79747.15,58601.25,13.17
2017-12-12,33.94,34.15,33.22,33.1,49130.18,-1.33,-3.85,33.816,35.319,34.873,61827.57,85404.4,58913.51,12.28
2017-12-11,33.32,35.49,34.55,33.13,68412.46,1.12,3.35,34.164,35.725,34.965,68016.46,92559.94,59457.02,17.1
2017-12-08,32.51,34.3,33.43,32.32,58142.47,0.34,1.03,34.372,36.186,34.989,70322.14,98580.19,58930.23,14.54
2017-12-07,34.9,35.18,33.09,33.03,66596.91,-1.7,-4.89,35.594,37.194,35.087,87454.34,94268.67,58979.47,16.65
2017-12-06,34.52,35.6,34.79,33.78,66855.83,-0.17,-0.49,36.576,37.84,35.22,100504.21,87664.33,58471.64,16.71
2017-12-05,34.01,35.79,34.96,33.52,80074.62,-0.63,-1.77,36.822,37.956,35.251,108981.24,80994.9,57872.77,20.02
2017-12-04,37.65,37.76,35.59,35.59,79940.86,-3.95,-9.99,37.286,37.728,35.273,117103.43,72992.3,56164.93,19.99
2017-12-01,37.12,41.41,39.54,37.01,143803.47,1.54,4.05,38.0,37.14,35.247,126838.25,65003.61,54183.61,35.95
2017-11-30,35.47,38.95,38.0,35.2,131846.25,1.98,5.5,38.794,35.887,34.856,101083.01,50629.76,46036.35,32.96
2017-11-29,37.0,37.19,36.02,34.02,109240.99,-1.26,-3.38,39.104,34.542,34.542,74824.45,37455.35,37455.35,27.31
2017-11-28,36.6,38.55,37.28,36.55,120685.58,-1.88,-4.8,39.09,34.378,34.378,53008.56,29479.17,29479.17,30.17
2017-11-27,43.0,43.0,39.16,39.16,128614.94,-4.35,-10.0,38.17,34.015,34.015,28881.16,18078.37,18078.37,32.15
2017-11-24,43.51,43.51,43.51,43.51,15027.29,3.96,10.01,36.28,33.28,33.28,3168.97,2287.43,2287.43,3.76
2017-11-23,39.55,39.55,39.55,39.55,553.43,3.6,10.01,32.98,31.575,31.575,176.52,164.13,164.13,0.14
2017-11-22,35.95,35.95,35.95,35.95,161.54,3.27,10.01,29.98,29.98,29.98,86.26,86.26,86.26,0.04
2017-11-21,32.68,32.68,32.68,32.68,48.61,2.97,10.0,28.488,28.488,28.488,67.45,67.45,67.45,0.01
2017-11-20,29.71,29.71,29.71,29.71,54.0,2.7,10.0,27.09,27.09,27.09,73.72,73.72,73.72,0.01
2017-11-17,27.01,27.01,27.01,27.01,65.0,2.46,10.02,25.78,25.78,25.78,83.59,83.59,83.59,0.02
2017-11-16,20.46,24.55,24.55,20.46,102.17,7.5,43.99,24.55,24.55,24.55,102.17,102.17,102.17,0.03
