date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-16,126.84,135.0,133.57,125.33,20396.0,6.07,4.76,130.352,127.448,116.921,21349.14,19924.84,18901.61,12.21
2018-03-15,121.11,128.5,127.5,115.2,26246.18,4.14,3.36,130.334,125.418,114.943,21521.13,19199.58,18838.86,15.72
2018-03-14,131.5,133.68,123.36,123.01,20428.18,-10.19,-7.63,130.326,124.206,113.509,19761.09,18388.84,18383.4,12.23
2018-03-13,133.48,138.88,133.55,130.78,19557.89,-0.23,-0.17,130.214,122.701,112.29,18718.05,17874.74,18682.54,11.71
2018-03-12,134.97,135.88,133.78,129.36,20117.43,0.3,0.23,127.504,120.496,110.332,19112.74,18023.02,18893.75,12.05
2018-03-09,129.0,134.78,133.48,128.01,21255.95,6.02,4.72,124.544,118.088,108.738,18500.54,18009.27,19347.68,12.73
2018-03-08,122.7,127.87,127.46,120.5,17446.0,4.66,3.79,120.502,115.237,107.724,16878.04,17297.57,19600.77,10.45
2018-03-07,120.02,125.98,122.8,120.01,15213.0,2.8,2.33,118.086,113.053,106.801,17016.58,17537.09,19932.67,9.11
2018-03-06,118.96,125.77,120.0,118.03,21531.34,1.02,0.86,115.188,110.713,106.141,17031.43,17916.49,20909.7,12.89
2018-03-05,113.9,120.38,118.98,113.03,17056.43,5.71,5.04,113.488,108.266,105.868,16933.29,17616.76,21482.88,10.21
2018-03-02,113.62,116.6,113.27,112.4,13143.43,-2.11,-1.83,111.632,106.394,106.137,17518.0,17878.39,22086.64,7.87
2018-03-01,107.0,115.38,115.38,106.0,18138.71,7.07,6.53,109.972,104.467,107.382,17717.1,18478.14,22605.22,10.86
2018-02-28,109.0,112.4,108.31,108.0,15287.23,-3.19,-2.86,108.02,102.812,108.497,18057.6,18377.97,23223.35,9.15
2018-02-27,111.0,116.0,111.5,109.66,21040.66,1.8,1.64,106.238,101.878,110.085,18801.55,19490.35,24460.23,12.6
2018-02-26,107.45,111.7,109.7,105.96,19979.98,4.73,4.51,103.044,100.169,111.806,18300.22,19764.49,25009.77,11.96
2018-02-23,104.55,105.43,104.97,102.88,14138.94,-0.65,-0.61,101.156,99.387,114.426,18238.77,20686.09,25354.94,8.47
2018-02-22,100.25,107.0,105.62,98.34,19841.21,6.22,6.26,98.962,100.21,117.26,19239.18,21903.96,26544.62,11.88
2018-02-14,95.5,103.0,99.4,94.3,19006.98,3.87,4.05,97.604,100.548,119.326,18698.33,22328.24,27023.86,11.38
2018-02-13,101.0,101.0,95.53,95.53,18534.0,-4.73,-4.72,97.518,101.569,121.193,20179.14,23902.91,27393.16,11.1
2018-02-12,96.88,102.04,100.26,96.5,19672.71,6.26,6.66,97.294,103.47,123.407,21228.75,25349.01,27932.58,11.78
2018-02-09,92.0,96.6,94.0,91.0,19141.0,-4.83,-4.89,97.618,105.879,124.972,23133.41,26294.89,28596.67,11.46
2018-02-08,97.79,99.99,98.83,95.88,17136.97,-0.14,-0.14,101.458,110.296,126.822,24568.74,26732.3,28820.92,10.26
2018-02-07,97.8,102.0,98.97,95.0,26411.04,4.56,4.83,103.492,114.183,128.508,25958.15,28068.74,29649.51,15.81
2018-02-06,94.03,99.66,94.41,94.03,23782.02,-7.47,-7.33,105.62,118.292,129.945,27626.67,29430.12,30099.16,14.24
2018-02-05,109.94,111.0,101.88,101.88,29196.02,-11.32,-10.0,109.646,123.442,131.654,29469.27,30255.06,30998.26,17.48
2018-02-02,109.18,113.33,113.2,106.5,26317.64,4.2,3.85,114.14,129.466,132.405,29456.37,30023.8,30760.79,15.76
2018-02-01,109.01,111.9,109.0,107.21,24084.05,-0.61,-0.56,119.134,134.309,132.594,28895.85,31185.28,30868.17,14.42
2018-01-31,114.27,116.88,109.61,105.25,34753.64,-4.93,-4.3,124.874,138.103,133.169,30179.33,31719.47,31624.05,20.81
2018-01-30,120.36,121.8,114.54,113.15,32994.98,-9.81,-7.89,130.964,140.816,133.738,31233.56,30883.4,31371.44,19.76
2018-01-29,138.6,139.0,124.35,124.35,29131.55,-13.82,-10.0,137.238,143.343,134.036,31040.85,30516.14,31475.46,17.44
2018-01-26,138.0,139.19,138.17,134.21,23515.05,0.47,0.34,144.792,144.064,133.443,30591.22,30898.45,31884.43,14.08
2018-01-25,139.0,142.48,137.7,133.39,30501.42,-2.36,-1.69,149.484,143.347,132.414,33474.71,30909.55,33442.81,18.26
2018-01-24,148.0,149.8,140.06,137.0,40024.79,-5.85,-4.01,151.332,142.832,131.029,33259.62,31230.27,34279.81,23.97
2018-01-23,160.3,164.77,145.91,145.91,32031.43,-16.21,-10.0,150.668,141.598,129.425,30533.25,30768.21,34817.39,19.18
2018-01-22,157.0,163.0,162.12,156.0,26883.42,0.49,0.3,149.448,139.866,127.455,29991.44,31741.46,36177.4,16.1
2018-01-19,146.11,161.63,161.63,144.7,37932.48,14.69,10.0,143.336,135.344,124.299,31205.69,31497.79,36890.45,22.71
2018-01-18,137.1,148.77,146.94,134.8,29425.96,10.2,7.46,137.21,130.879,121.223,28344.39,30551.06,37654.38,17.62
2018-01-17,139.0,141.49,136.74,130.3,26392.94,-3.07,-2.2,134.332,128.235,118.651,29200.93,31528.63,38382.59,15.8
2018-01-16,129.0,141.88,139.81,129.0,29322.41,8.25,6.27,132.528,126.66,116.677,31003.18,31859.48,38841.46,17.56
2018-01-15,131.06,142.0,131.56,130.0,32954.64,0.56,0.43,130.284,124.729,114.47,33491.49,32434.77,39568.51,19.73
2018-01-12,130.04,135.46,131.0,129.64,23626.0,-1.55,-1.17,127.352,122.823,112.988,31789.89,32870.41,40772.16,14.15
2018-01-11,127.29,135.98,132.55,127.15,33708.67,4.83,3.78,124.548,121.481,112.081,32757.74,35976.06,42237.86,20.18
2018-01-10,126.02,128.58,127.72,123.08,35404.16,-0.87,-0.68,122.138,119.226,110.583,33856.32,37329.34,43015.74,21.2
2018-01-09,116.19,128.59,128.59,116.16,41763.96,11.69,10.0,120.792,117.252,109.447,32715.78,38866.57,43950.66,25.01
2018-01-08,116.0,119.88,116.9,115.08,24446.67,-0.08,-0.07,119.174,115.044,108.169,31378.05,40613.33,45431.77,14.64
2018-01-05,119.03,120.3,116.98,115.01,28465.24,-3.52,-2.92,118.294,113.254,107.268,33950.93,42283.12,46955.61,17.05
2018-01-04,120.32,122.4,120.5,115.8,39201.57,-0.49,-0.41,118.414,111.567,105.914,39194.38,44757.69,48070.29,23.47
2018-01-03,120.0,121.99,120.99,116.31,29701.44,0.49,0.41,116.314,109.067,104.709,40802.36,45236.56,49006.99,17.79
2018-01-02,114.92,121.58,120.5,113.8,35075.32,8.0,7.11,113.712,106.693,103.367,45017.37,45823.45,50943.88,21.0
2017-12-29,114.1,119.0,112.5,111.2,37311.1,-5.08,-4.32,110.914,104.212,101.982,49848.61,46702.25,54669.46,22.34
2017-12-28,115.0,121.0,117.58,112.27,54682.49,7.58,6.89,108.214,103.152,101.022,50615.3,48673.92,53193.71,32.74
2017-12-27,109.5,115.5,110.0,108.0,47241.45,2.02,1.87,104.72,102.68,99.383,50320.99,48499.65,50506.64,28.29
2017-12-26,105.33,112.49,107.98,105.01,50776.5,1.47,1.38,101.82,101.94,97.738,49670.77,48702.15,48155.97,30.41
2017-12-25,99.95,108.9,106.51,99.13,59231.52,7.51,7.59,99.674,101.642,95.844,46629.52,49034.75,45635.14,35.47
2017-12-22,98.71,103.8,99.0,98.5,41144.52,-1.11,-1.11,97.51,101.293,93.704,43555.9,50250.21,42686.87,24.64
2017-12-21,94.99,103.26,100.11,93.0,53210.94,4.61,4.83,98.09,101.282,91.651,46732.54,51628.1,40634.64,31.86
2017-12-20,96.18,98.5,95.5,92.54,43990.35,-1.75,-1.8,100.64,100.261,89.278,46678.31,51382.9,37975.74,26.34
2017-12-19,97.14,99.8,97.25,95.29,35570.28,1.56,1.63,102.06,100.35,86.896,47733.52,52777.42,35776.98,21.3
2017-12-18,100.11,104.69,95.69,95.18,43863.39,-6.21,-6.09,103.61,100.04,84.21,51439.98,56064.32,34002.12,26.27
2017-12-15,111.87,111.99,101.9,101.9,57027.72,-10.96,-9.71,105.076,99.752,83.606,56944.52,62636.68,33483.1,34.15
2017-12-14,103.9,112.86,112.86,102.19,52939.83,10.26,10.0,104.474,98.891,82.589,56523.66,57713.51,32175.07,31.7
2017-12-13,103.29,110.0,102.6,100.66,49266.4,-2.4,-2.29,99.882,96.086,80.809,56087.49,52513.63,30953.61,29.5
2017-12-12,100.2,106.78,105.0,99.0,54102.58,1.98,1.92,98.64,93.536,79.447,57821.32,47609.79,29809.06,32.4
2017-12-11,100.02,108.78,103.02,100.02,71386.06,4.13,4.18,96.47,90.045,77.743,60688.65,42235.53,28189.49,42.75
2017-12-08,91.02,98.89,98.89,91.02,54923.45,8.99,10.0,94.428,86.115,75.938,68328.83,35123.53,25104.02,32.89
2017-12-07,93.1,94.52,89.9,87.1,50758.94,-6.49,-6.73,93.308,82.019,74.172,58903.36,29641.18,22810.22,30.39
2017-12-06,97.09,98.77,96.39,91.5,57935.57,2.24,2.38,92.29,78.295,72.862,48939.77,24568.59,20481.16,34.69
2017-12-05,92.81,99.3,94.15,90.16,68439.22,1.34,1.44,88.432,73.443,70.723,37398.26,18776.54,17076.22,40.98
2017-12-04,102.62,102.62,92.81,89.31,109586.99,-0.48,-0.52,83.62,68.38,68.38,23782.41,11939.92,11939.92,65.62
2017-12-01,93.29,93.29,93.29,93.29,7796.07,8.48,10.0,77.802,65.666,65.666,1918.22,1090.24,1090.24,4.67
2017-11-30,84.81,84.81,84.81,84.81,941.01,7.71,10.0,70.73,62.213,62.213,379.0,252.01,252.01,0.56
2017-11-29,77.1,77.1,77.1,77.1,228.0,7.01,10.0,64.3,58.984,58.984,197.4,153.58,153.58,0.14
2017-11-28,70.09,70.09,70.09,70.09,360.0,6.37,10.0,58.454,55.965,55.965,154.82,141.18,141.18,0.22
2017-11-27,63.72,63.72,63.72,63.72,266.0,5.79,9.99,53.14,53.14,53.14,97.42,97.42,97.42,0.16
2017-11-24,57.93,57.93,57.93,57.93,100.0,5.27,10.01,50.495,50.495,50.495,55.27,55.27,55.27,0.06
2017-11-23,52.66,52.66,52.66,52.66,33.0,4.79,10.01,48.017,48.017,48.017,40.36,40.36,40.36,0.02
2017-11-22,47.87,47.87,47.87,47.87,15.08,4.35,9.99,45.695,45.695,45.695,44.04,44.04,44.04,0.01
2017-11-21,36.26,43.52,43.52,36.26,73.0,13.3,44.01,43.52,43.52,43.52,73.0,73.0,73.0,0.04
